material_uid,manufacturing_uid,city,asset_id,asset_name,asset_type,package_id,phase,bom_source,bom_ref,description,quantity_basis,make_buy_source,base_usd,cost_basis,traceability_required,evidence_required,material_status
samawah:SAM-SYS-001:sys-00-baseline-freeze:MAT-001,samawah:SAM-SYS-001:sys-00-baseline-freeze,samawah,SAM-SYS-001,Samawah railway system,system,sys-00-baseline-freeze,program-control,project_kit,program-control:baseline-pack,program control:baseline pack,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-001:dep-10-building-plant:MAT-001,samawah:SAM-PLANT-001:dep-10-building-plant,samawah,SAM-PLANT-001,production/depot tooling at line-1-0985-0109,depots-production,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-001:dep-10-building-plant:MAT-002,samawah:SAM-PLANT-001:dep-10-building-plant,samawah,SAM-PLANT-001,production/depot tooling at line-1-0985-0109,depots-production,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-001:dep-10-building-plant:MAT-003,samawah:SAM-PLANT-001:dep-10-building-plant,samawah,SAM-PLANT-001,production/depot tooling at line-1-0985-0109,depots-production,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-001:dep-10-building-plant:MAT-004,samawah:SAM-PLANT-001:dep-10-building-plant,samawah,SAM-PLANT-001,production/depot tooling at line-1-0985-0109,depots-production,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-001:dep-10-building-plant:MAT-005,samawah:SAM-PLANT-001:dep-10-building-plant,samawah,SAM-PLANT-001,production/depot tooling at line-1-0985-0109,depots-production,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-001:dep-10-building-plant:MAT-001,samawah:SAM-DEP-001:dep-10-building-plant,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-001:dep-10-building-plant:MAT-002,samawah:SAM-DEP-001:dep-10-building-plant,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-001:dep-10-building-plant:MAT-003,samawah:SAM-DEP-001:dep-10-building-plant,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-001:dep-10-building-plant:MAT-004,samawah:SAM-DEP-001:dep-10-building-plant,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-001:dep-10-building-plant:MAT-005,samawah:SAM-DEP-001:dep-10-building-plant,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-002:dep-10-building-plant:MAT-001,samawah:SAM-PLANT-002:dep-10-building-plant,samawah,SAM-PLANT-002,production/depot tooling at line-1-0147-0558,depots-production,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-002:dep-10-building-plant:MAT-002,samawah:SAM-PLANT-002:dep-10-building-plant,samawah,SAM-PLANT-002,production/depot tooling at line-1-0147-0558,depots-production,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-002:dep-10-building-plant:MAT-003,samawah:SAM-PLANT-002:dep-10-building-plant,samawah,SAM-PLANT-002,production/depot tooling at line-1-0147-0558,depots-production,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-002:dep-10-building-plant:MAT-004,samawah:SAM-PLANT-002:dep-10-building-plant,samawah,SAM-PLANT-002,production/depot tooling at line-1-0147-0558,depots-production,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-002:dep-10-building-plant:MAT-005,samawah:SAM-PLANT-002:dep-10-building-plant,samawah,SAM-PLANT-002,production/depot tooling at line-1-0147-0558,depots-production,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-003:dep-10-building-plant:MAT-001,samawah:SAM-PLANT-003:dep-10-building-plant,samawah,SAM-PLANT-003,production/depot tooling at line-2-0620-0667,depots-production,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-003:dep-10-building-plant:MAT-002,samawah:SAM-PLANT-003:dep-10-building-plant,samawah,SAM-PLANT-003,production/depot tooling at line-2-0620-0667,depots-production,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-003:dep-10-building-plant:MAT-003,samawah:SAM-PLANT-003:dep-10-building-plant,samawah,SAM-PLANT-003,production/depot tooling at line-2-0620-0667,depots-production,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-003:dep-10-building-plant:MAT-004,samawah:SAM-PLANT-003:dep-10-building-plant,samawah,SAM-PLANT-003,production/depot tooling at line-2-0620-0667,depots-production,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-003:dep-10-building-plant:MAT-005,samawah:SAM-PLANT-003:dep-10-building-plant,samawah,SAM-PLANT-003,production/depot tooling at line-2-0620-0667,depots-production,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-001:dep-20-charging-stabling:MAT-001,samawah:SAM-DEP-001:dep-20-charging-stabling,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-20-charging-stabling,depots-production,project_kit,depot:charger-kit,depot:charger kit,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-001:dep-20-charging-stabling:MAT-002,samawah:SAM-DEP-001:dep-20-charging-stabling,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-20-charging-stabling,depots-production,project_kit,depot:switchgear,depot:switchgear,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-001:dep-20-charging-stabling:MAT-003,samawah:SAM-DEP-001:dep-20-charging-stabling,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-20-charging-stabling,depots-production,project_kit,depot:stabling-controls,depot:stabling controls,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-001:dep-20-charging-stabling:MAT-004,samawah:SAM-DEP-001:dep-20-charging-stabling,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-20-charging-stabling,depots-production,project_kit,depot:isolation-hardware,depot:isolation hardware,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-002:dep-10-building-plant:MAT-001,samawah:SAM-DEP-002:dep-10-building-plant,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-002:dep-10-building-plant:MAT-002,samawah:SAM-DEP-002:dep-10-building-plant,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-002:dep-10-building-plant:MAT-003,samawah:SAM-DEP-002:dep-10-building-plant,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-002:dep-10-building-plant:MAT-004,samawah:SAM-DEP-002:dep-10-building-plant,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-002:dep-10-building-plant:MAT-005,samawah:SAM-DEP-002:dep-10-building-plant,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-004:dep-10-building-plant:MAT-001,samawah:SAM-PLANT-004:dep-10-building-plant,samawah,SAM-PLANT-004,production/depot tooling at line-2-0015-0106,depots-production,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-004:dep-10-building-plant:MAT-002,samawah:SAM-PLANT-004:dep-10-building-plant,samawah,SAM-PLANT-004,production/depot tooling at line-2-0015-0106,depots-production,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-004:dep-10-building-plant:MAT-003,samawah:SAM-PLANT-004:dep-10-building-plant,samawah,SAM-PLANT-004,production/depot tooling at line-2-0015-0106,depots-production,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-004:dep-10-building-plant:MAT-004,samawah:SAM-PLANT-004:dep-10-building-plant,samawah,SAM-PLANT-004,production/depot tooling at line-2-0015-0106,depots-production,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-004:dep-10-building-plant:MAT-005,samawah:SAM-PLANT-004:dep-10-building-plant,samawah,SAM-PLANT-004,production/depot tooling at line-2-0015-0106,depots-production,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-002:dep-20-charging-stabling:MAT-001,samawah:SAM-DEP-002:dep-20-charging-stabling,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-20-charging-stabling,depots-production,project_kit,depot:charger-kit,depot:charger kit,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-002:dep-20-charging-stabling:MAT-002,samawah:SAM-DEP-002:dep-20-charging-stabling,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-20-charging-stabling,depots-production,project_kit,depot:switchgear,depot:switchgear,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-002:dep-20-charging-stabling:MAT-003,samawah:SAM-DEP-002:dep-20-charging-stabling,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-20-charging-stabling,depots-production,project_kit,depot:stabling-controls,depot:stabling controls,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-002:dep-20-charging-stabling:MAT-004,samawah:SAM-DEP-002:dep-20-charging-stabling,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-20-charging-stabling,depots-production,project_kit,depot:isolation-hardware,depot:isolation hardware,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-003:dep-10-building-plant:MAT-001,samawah:SAM-DEP-003:dep-10-building-plant,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-003:dep-10-building-plant:MAT-002,samawah:SAM-DEP-003:dep-10-building-plant,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-003:dep-10-building-plant:MAT-003,samawah:SAM-DEP-003:dep-10-building-plant,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-003:dep-10-building-plant:MAT-004,samawah:SAM-DEP-003:dep-10-building-plant,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
