evidence_id,city,asset_id,asset_name,asset_type,manufacturing_uid,package_id,phase,qa_uid,qa_gate_id,qa_stage,hold_point,required_result,release_authority,evidence_required,blocks_successors,predecessor_uids,material_count,material_sources,acceptance_use
basra:BAS-SYS-001:sys-00-baseline-freeze:VERIFY,basra,BAS-SYS-001,Basra railway system,system,basra:BAS-SYS-001:sys-00-baseline-freeze,sys-00-baseline-freeze,program-control,basra:BAS-SYS-001:qa-00-design-freeze,qa-00-design-freeze,design freeze,"No procurement, fabrication, or site work starts until design assumptions, interfaces, hazards, and inspection/test plans are baselined.",pass,system assurance lead + owner engineer,"approved drawing register, interface control document, hazard-log snapshot, inspection/test plan, material and supplier register",yes,,1,project_kit:1,baseline design and ITP release
basra:BAS-PLANT-001:dep-10-building-plant:VERIFY,basra,BAS-PLANT-001,production/depot tooling at line-1-0080-0724-s000000,depots-production,basra:BAS-PLANT-001:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-001:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-DEP-001:dep-10-building-plant:VERIFY,basra,BAS-DEP-001,layup-minimal at line-1-0080-0724-s000000,depot,basra:BAS-DEP-001:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-DEP-001:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-PLANT-002:dep-10-building-plant:VERIFY,basra,BAS-PLANT-002,production/depot tooling at line-1-1783-1156-s045117,depots-production,basra:BAS-PLANT-002:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-002:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-PLANT-003:dep-10-building-plant:VERIFY,basra,BAS-PLANT-003,production/depot tooling at line-2-0839-1170-s000000,depots-production,basra:BAS-PLANT-003:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-003:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-DEP-001:dep-20-charging-stabling:VERIFY,basra,BAS-DEP-001,layup-minimal at line-1-0080-0724-s000000,depot,basra:BAS-DEP-001:dep-20-charging-stabling,dep-20-charging-stabling,depots-production,basra:BAS-DEP-001:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-DEP-001:dep-10-building-plant,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-DEP-002:dep-10-building-plant:VERIFY,basra,BAS-DEP-002,layup-minimal at line-1-1783-1156-s045117,depot,basra:BAS-DEP-002:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-DEP-002:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-PLANT-004:dep-10-building-plant:VERIFY,basra,BAS-PLANT-004,production/depot tooling at line-2-1620-1366-s020200,depots-production,basra:BAS-PLANT-004:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-004:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-DEP-002:dep-20-charging-stabling:VERIFY,basra,BAS-DEP-002,layup-minimal at line-1-1783-1156-s045117,depot,basra:BAS-DEP-002:dep-20-charging-stabling,dep-20-charging-stabling,depots-production,basra:BAS-DEP-002:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-DEP-002:dep-10-building-plant,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-DEP-003:dep-10-building-plant:VERIFY,basra,BAS-DEP-003,layup-minimal at line-2-0839-1170-s000000,depot,basra:BAS-DEP-003:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-DEP-003:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
