campaign,geography_type,region,country,city,recipient_id,recipient_role,organization,recipient_name,email,official_url,verification_status,last_verified,source_url,notes
marketing/campaigns/central-africa/DR Congo/README.md,country,central-africa,DR Congo,,transport-ministry,DR Congo ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/central-africa/DR Congo/README.md,country,central-africa,DR Congo,,climate-energy-authority,"DR Congo national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/central-africa/DR Congo/README.md,country,central-africa,DR Congo,,public-investment-authority,"DR Congo public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/central-africa/DR Congo/README.md,country,central-africa,DR Congo,,uk-embassy-economic-section,Embassy or High Commission of DR Congo in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/east-africa/Angola/README.md,country,east-africa,Angola,,transport-ministry,Angola ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Angola/README.md,country,east-africa,Angola,,climate-energy-authority,"Angola national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Angola/README.md,country,east-africa,Angola,,public-investment-authority,"Angola public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Angola/README.md,country,east-africa,Angola,,uk-embassy-economic-section,Embassy or High Commission of Angola in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/east-africa/Kenya/README.md,country,east-africa,Kenya,,transport-ministry,Kenya ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Kenya/README.md,country,east-africa,Kenya,,climate-energy-authority,"Kenya national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Kenya/README.md,country,east-africa,Kenya,,public-investment-authority,"Kenya public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Kenya/README.md,country,east-africa,Kenya,,uk-embassy-economic-section,Embassy or High Commission of Kenya in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/east-africa/Madagascar/README.md,country,east-africa,Madagascar,,transport-ministry,Madagascar ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Madagascar/README.md,country,east-africa,Madagascar,,climate-energy-authority,"Madagascar national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Madagascar/README.md,country,east-africa,Madagascar,,public-investment-authority,"Madagascar public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Madagascar/README.md,country,east-africa,Madagascar,,uk-embassy-economic-section,Embassy or High Commission of Madagascar in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/east-africa/Mozambique/README.md,country,east-africa,Mozambique,,transport-ministry,Mozambique ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Mozambique/README.md,country,east-africa,Mozambique,,climate-energy-authority,"Mozambique national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Mozambique/README.md,country,east-africa,Mozambique,,public-investment-authority,"Mozambique public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
