line_id,file_role,package_revision,file_path,sha256,capture_date,coordinate_system,vertical_datum,producer,checker,acceptance_status
*,ground_model_readiness,,,,,,,,,not-received
*,interface_verification_report,,,,,,,,,not-received
*,alignment_acceptance_record,,,,,,,,,not-received
line-1,surveyed_osr_aln,,,,,,,,,not-received
line-1,landxml_export,,,,,,,,,not-received
line-1,landxml_roundtrip_report,,,,,,,,,not-received
line-2,surveyed_osr_aln,,,,,,,,,not-received
line-2,landxml_export,,,,,,,,,not-received
line-2,landxml_roundtrip_report,,,,,,,,,not-received
line-3,surveyed_osr_aln,,,,,,,,,not-received
line-3,landxml_export,,,,,,,,,not-received
line-3,landxml_roundtrip_report,,,,,,,,,not-received
