verification_uid,manufacturing_uid,qa_uid,city,asset_id,asset_name,asset_type,package_id,phase,qa_gate_id,qa_stage,hold_point,evidence_required,release_authority,required_result,blocks_successors,verification_source,status
samawah:SAM-SYS-001:sys-00-baseline-freeze:VERIFY,samawah:SAM-SYS-001:sys-00-baseline-freeze,samawah:SAM-SYS-001:qa-00-design-freeze,samawah,SAM-SYS-001,Samawah railway system,system,sys-00-baseline-freeze,program-control,qa-00-design-freeze,design freeze,"No procurement, fabrication, or site work starts until design assumptions, interfaces, hazards, and inspection/test plans are baselined.","approved drawing register, interface control document, hazard-log snapshot, inspection/test plan, material and supplier register",system assurance lead + owner engineer,pass,yes,qa_action,required
samawah:SAM-PLANT-001:dep-10-building-plant:VERIFY,samawah:SAM-PLANT-001:dep-10-building-plant,samawah:SAM-PLANT-001:qa-24-stations-depots-plant,samawah,SAM-PLANT-001,production/depot tooling at line-1-0985-0109-s025566,depots-production,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-DEP-001:dep-10-building-plant:VERIFY,samawah:SAM-DEP-001:dep-10-building-plant,samawah:SAM-DEP-001:qa-24-stations-depots-plant,samawah,SAM-DEP-001,main-heavy at line-1-0985-0109-s025566,depot,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-DEP-001:dep-20-charging-stabling:VERIFY,samawah:SAM-DEP-001:dep-20-charging-stabling,samawah:SAM-DEP-001:qa-25-power-energy,samawah,SAM-DEP-001,main-heavy at line-1-0985-0109-s025566,depot,dep-20-charging-stabling,depots-production,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-EN-001:en-10-energy-build:VERIFY,samawah:SAM-EN-001:en-10-energy-build,samawah:SAM-EN-001:qa-25-power-energy,samawah,SAM-EN-001,energy site at line-1-0147-0558-s000000,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-EN-002:en-10-energy-build:VERIFY,samawah:SAM-EN-002:en-10-energy-build,samawah:SAM-EN-002:qa-25-power-energy,samawah,SAM-EN-002,energy site at line-1-0274-0515-s003012,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-EN-001:en-20-energy-commission:VERIFY,samawah:SAM-EN-001:en-20-energy-commission,samawah:SAM-EN-001:qa-25-power-energy,samawah,SAM-EN-001,energy site at line-1-0147-0558-s000000,energy,en-20-energy-commission,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-EN-003:en-10-energy-build:VERIFY,samawah:SAM-EN-003:en-10-energy-build,samawah:SAM-EN-003:qa-25-power-energy,samawah,SAM-EN-003,energy site at line-1-0351-0524-s004627,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-001:st-10-civil-structure:VERIFY,samawah:SAM-ST-001:st-10-civil-structure,samawah:SAM-ST-001:qa-24-stations-depots-plant,samawah,SAM-ST-001,الشنابرة,station,st-10-civil-structure,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-EN-002:en-20-energy-commission:VERIFY,samawah:SAM-EN-002:en-20-energy-commission,samawah:SAM-EN-002:qa-25-power-energy,samawah,SAM-EN-002,energy site at line-1-0274-0515-s003012,energy,en-20-energy-commission,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-EN-004:en-10-energy-build:VERIFY,samawah:SAM-EN-004:en-10-energy-build,samawah:SAM-EN-004:qa-25-power-energy,samawah,SAM-EN-004,energy site at line-1-0436-0475-s007631,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-002:st-10-civil-structure:VERIFY,samawah:SAM-ST-002:st-10-civil-structure,samawah:SAM-ST-002:qa-24-stations-depots-plant,samawah,SAM-ST-002,الشقق الجديدة (ام العصافير),station,st-10-civil-structure,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-EN-003:en-20-energy-commission:VERIFY,samawah:SAM-EN-003:en-20-energy-commission,samawah:SAM-EN-003:qa-25-power-energy,samawah,SAM-EN-003,energy site at line-1-0351-0524-s004627,energy,en-20-energy-commission,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-001:st-20-mep-passenger-systems:VERIFY,samawah:SAM-ST-001:st-20-mep-passenger-systems,samawah:SAM-ST-001:qa-24-stations-depots-plant,samawah,SAM-ST-001,الشنابرة,station,st-20-mep-passenger-systems,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-TRK-L1-001:trk-10-survey-utility:VERIFY,samawah:SAM-TRK-L1-001:trk-10-survey-utility,samawah:SAM-TRK-L1-001:qa-20-survey-geotech,samawah,SAM-TRK-L1-001,line-1 section 001,track-section,trk-10-survey-utility,track-civil,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.","topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",civil owner engineer,pass,yes,qa_action,required
